description,category
Sorting bay with plastic bottles contaminated with trash near Tech campus during holiday weekend during heat wave.,recyclables
Oil drum with corrosive fluid emitting fumes near City park during late afternoon on foggy day.,hazardous
Yard bag stack with meat waste left in sun near Suburban cul-de-sac during evening rush after parade.,organic
Server rack with cables dumped beside alley near Warehouse district during evening rush during market day.,e-waste
Trash bag pile with household junk tossed behind fence near Shopping arcade during noon inspection after parade.,illegal_dumping
Carpet roll with metal frames leaning on hydrant near City park during storm aftermath after parade.,bulk
Curbside tote with paper bundles overflowing onto sidewalk near Campus edge during late afternoon during heat wave.,recyclables
Battery crate with flammable mix seeping toward drain near Downtown plaza during midnight patrol amid high winds.,hazardous
Yard bag stack with leaf piles blocking walkway near Industrial park during early morning on foggy day.,organic
Device crate with broken screens dumped beside alley near Suburban cul-de-sac during midnight patrol during heat wave.,e-waste
Contractor debris with site rubble tossed behind fence near Bike lane near station during midnight patrol on foggy day.,illegal_dumping
Appliance stack with metal frames encroaching roadway near Old Town during holiday weekend during market day.,bulk
Neighborhood bin with cardboard flats contaminated with trash near Tech campus during weekend cleanup after parade.,recyclables
Solvent barrel with corrosive fluid knocked on its side near Suburban cul-de-sac during noon inspection after heavy rain.,hazardous
Compost bin with meat waste left in sun near Transit hub during evening rush during heat wave.,organic
Printer stack with lithium cells dumped beside alley near Bike lane near station during weekend cleanup during market day.,e-waste
Pickup truck load with demolition scraps spread across verge near Tech campus during early morning amid high winds.,illegal_dumping
Carpet roll with scrap lumber encroaching roadway near City park during early morning following festival.,bulk
Drop-off cage with plastic bottles contaminated with trash near Industrial park during early morning during market day.,recyclables
Solvent barrel with corrosive fluid leaking onto soil near Campus edge during noon inspection during market day.,hazardous
Grocery dumpster with rotting scraps drawing pests near Recreation center during holiday weekend after heavy rain.,organic
Battery tote with cables stacked without cover near Tech campus during storm aftermath on foggy day.,e-waste
Construction sack with black bags spread across verge near Riverbank during evening rush during market day.,illegal_dumping
Sofa set with metal frames left for weeks near Campus edge during evening rush during market day.,bulk
Blue cart with plastic bottles jammed and uncollected near Suburban cul-de-sac during storm aftermath following festival.,recyclables
Chemical tote with toxic sludge stored without label near Warehouse district during evening rush on foggy day.,hazardous
Compost bin with rotting scraps mixed with litter near City park during early morning during heat wave.,organic
Monitor pile with broken screens rusting outdoors near Downtown plaza during holiday weekend following festival.,e-waste
Mattress heap with mixed refuse spread across verge near Suburban cul-de-sac during weekend cleanup following festival.,illegal_dumping
Sofa set with metal frames left for weeks near Industrial park during weekend cleanup after parade.,bulk
Curbside tote with cardboard flats jammed and uncollected near Transit hub during midnight patrol during heat wave.,recyclables
Battery crate with flammable mix emitting fumes near Downtown plaza during evening rush during market day.,hazardous
Grocery dumpster with coffee grounds drawing pests near Warehouse district during storm aftermath after parade.,organic
Battery tote with lithium cells stacked without cover near Industrial park during storm aftermath during heat wave.,e-waste
Mattress heap with household junk blocking fire lane near Community garden during evening rush after parade.,illegal_dumping
Sofa set with upholstery encroaching roadway near Campus edge during evening rush amid high winds.,bulk
Drop-off cage with aluminum cans jammed and uncollected near Bike lane near station during late afternoon amid high winds.,recyclables
Oil drum with lab waste seeping toward drain near Downtown plaza during midnight patrol amid high winds.,hazardous
Compost bin with spoiled fruit left in sun near Shopping arcade during weekend cleanup amid high winds.,organic
Server rack with motherboards dumped beside alley near Transit hub during weekend cleanup during market day.,e-waste
Construction sack with household junk burned in pit near Shopping arcade during weekend cleanup amid high winds.,illegal_dumping
Carpet roll with drywall sheets crushing plants near Campus edge during holiday weekend following festival.,bulk
Drop-off cage with paper bundles jammed and uncollected near Harbor pier during holiday weekend amid high winds.,recyclables
Battery crate with flammable mix seeping toward drain near Warehouse district during noon inspection amid high winds.,hazardous
Grocery dumpster with spoiled fruit smelling strongly near Downtown plaza during midnight patrol following festival.,organic
Server rack with cables stacked without cover near Warehouse district during weekend cleanup amid high winds.,e-waste
Construction sack with demolition scraps blocking fire lane near Industrial park during holiday weekend during market day.,illegal_dumping
Pallet mountain with metal frames crushing plants near Old Town during evening rush during market day.,bulk
Sorting bay with cardboard flats overflowing onto sidewalk near Harbor pier during early morning after parade.,recyclables
Oil drum with corrosive fluid stored without label near Old Town during weekend cleanup after heavy rain.,hazardous
Compost bin with spoiled fruit left in sun near Suburban cul-de-sac during noon inspection after heavy rain.,organic
Battery tote with broken screens dumped beside alley near Harbor pier during storm aftermath after heavy rain.,e-waste
Contractor debris with site rubble burned in pit near Industrial park during early morning following festival.,illegal_dumping
Appliance stack with furniture obstructing sidewalk near Harbor pier during evening rush during heat wave.,bulk
Curbside tote with cardboard flats jammed and uncollected near Community garden during noon inspection on foggy day.,recyclables
Oil drum with flammable mix stored without label near Suburban cul-de-sac during weekend cleanup during market day.,hazardous
Food cart with rotting scraps drawing pests near Riverbank during storm aftermath amid high winds.,organic
Printer stack with lithium cells dumped beside alley near Bike lane near station during early morning during market day.,e-waste
Pickup truck load with black bags spread across verge near Bike lane near station during noon inspection following festival.,illegal_dumping
Carpet roll with furniture leaning on hydrant near Transit hub during holiday weekend on foggy day.,bulk
Blue cart with paper bundles ignored by hauler near City park during early morning during heat wave.,recyclables
Oil drum with toxic sludge knocked on its side near Old Town during storm aftermath after heavy rain.,hazardous
Produce pallet with meat waste smelling strongly near City park during storm aftermath during market day.,organic
Battery tote with cables dumped beside alley near Harbor pier during noon inspection after heavy rain.,e-waste
Construction sack with household junk tossed behind fence near Warehouse district during storm aftermath after parade.,illegal_dumping
Sofa set with drywall sheets encroaching roadway near Suburban cul-de-sac during weekend cleanup on foggy day.,bulk
Neighborhood bin with aluminum cans ignored by hauler near Bike lane near station during storm aftermath after heavy rain.,recyclables
Chemical tote with corrosive fluid leaking onto soil near Industrial park during evening rush amid high winds.,hazardous
Yard bag stack with leaf piles blocking walkway near Riverbank during late afternoon after heavy rain.,organic
Battery tote with motherboards awaiting pickup near Riverbank during evening rush after heavy rain.,e-waste
Construction sack with black bags burned in pit near Harbor pier during storm aftermath after heavy rain.,illegal_dumping
Sofa set with drywall sheets left for weeks near Riverbank during noon inspection after parade.,bulk
Blue cart with paper bundles contaminated with trash near Campus edge during late afternoon during market day.,recyclables
Solvent barrel with lab waste seeping toward drain near Bike lane near station during storm aftermath during heat wave.,hazardous
Food cart with leaf piles blocking walkway near Suburban cul-de-sac during evening rush after heavy rain.,organic
Battery tote with motherboards mixed with trash near Industrial park during holiday weekend after parade.,e-waste
Trash bag pile with site rubble abandoned overnight near Shopping arcade during holiday weekend following festival.,illegal_dumping
Pallet mountain with furniture leaning on hydrant near Industrial park during early morning amid high winds.,bulk
Curbside tote with glass jars jammed and uncollected near Suburban cul-de-sac during noon inspection amid high winds.,recyclables
Paint bucket with flammable mix knocked on its side near Shopping arcade during weekend cleanup amid high winds.,hazardous
Produce pallet with coffee grounds blocking walkway near Industrial park during holiday weekend following festival.,organic
Server rack with lithium cells awaiting pickup near Community garden during storm aftermath on foggy day.,e-waste
Contractor debris with household junk burned in pit near Harbor pier during evening rush during market day.,illegal_dumping
Pallet mountain with metal frames encroaching roadway near Tech campus during midnight patrol after parade.,bulk
Neighborhood bin with glass jars strewn across curb near Bike lane near station during midnight patrol during heat wave.,recyclables
Chemical tote with acidic runoff stored without label near Riverbank during holiday weekend following festival.,hazardous
Grocery dumpster with coffee grounds left in sun near Harbor pier during storm aftermath following festival.,organic
Server rack with old laptops rusting outdoors near Bike lane near station during late afternoon after heavy rain.,e-waste
Trash bag pile with household junk burned in pit near Downtown plaza during storm aftermath after parade.,illegal_dumping
Pallet mountain with furniture obstructing sidewalk near Riverbank during midnight patrol during heat wave.,bulk
Neighborhood bin with paper bundles contaminated with trash near Suburban cul-de-sac during evening rush on foggy day.,recyclables
Battery crate with corrosive fluid emitting fumes near Campus edge during late afternoon after heavy rain.,hazardous
Food cart with leaf piles blocking walkway near Suburban cul-de-sac during weekend cleanup following festival.,organic
Server rack with lithium cells dumped beside alley near Suburban cul-de-sac during holiday weekend on foggy day.,e-waste
Trash bag pile with mixed refuse tossed behind fence near Downtown plaza during noon inspection during market day.,illegal_dumping
Appliance stack with metal frames left for weeks near Old Town during evening rush on foggy day.,bulk
Neighborhood bin with aluminum cans contaminated with trash near Bike lane near station during evening rush during heat wave.,recyclables
Battery crate with corrosive fluid knocked on its side near Recreation center during weekend cleanup amid high winds.,hazardous
Yard bag stack with rotting scraps smelling strongly near Transit hub during midnight patrol after parade.,organic
Printer stack with broken screens rusting outdoors near Old Town during noon inspection on foggy day.,e-waste
Construction sack with mixed refuse blocking fire lane near Bike lane near station during holiday weekend following festival.,illegal_dumping
Carpet roll with scrap lumber left for weeks near Campus edge during late afternoon on foggy day.,bulk
Neighborhood bin with cardboard flats strewn across curb near Community garden during midnight patrol following festival.,recyclables
Chemical tote with flammable mix leaking onto soil near Transit hub during midnight patrol after heavy rain.,hazardous
Food cart with spoiled fruit left in sun near Campus edge during storm aftermath following festival.,organic
Printer stack with lithium cells mixed with trash near Old Town during holiday weekend during market day.,e-waste
Contractor debris with household junk spread across verge near Industrial park during evening rush during heat wave.,illegal_dumping
Pallet mountain with upholstery obstructing sidewalk near Community garden during noon inspection after heavy rain.,bulk
Sorting bay with aluminum cans contaminated with trash near Harbor pier during holiday weekend amid high winds.,recyclables
Battery crate with acidic runoff stored without label near Old Town during late afternoon following festival.,hazardous
Produce pallet with leaf piles drawing pests near Industrial park during weekend cleanup following festival.,organic
Device crate with lithium cells rusting outdoors near Shopping arcade during holiday weekend following festival.,e-waste
Contractor debris with mixed refuse blocking fire lane near Tech campus during noon inspection following festival.,illegal_dumping
Pallet mountain with upholstery leaning on hydrant near Campus edge during late afternoon during market day.,bulk
Drop-off cage with plastic bottles contaminated with trash near Industrial park during noon inspection after parade.,recyclables
Battery crate with corrosive fluid seeping toward drain near Transit hub during noon inspection after parade.,hazardous
Produce pallet with meat waste smelling strongly near Tech campus during weekend cleanup after parade.,organic
Monitor pile with old laptops awaiting pickup near Harbor pier during midnight patrol following festival.,e-waste
Trash bag pile with site rubble blocking fire lane near City park during midnight patrol after parade.,illegal_dumping
Appliance stack with scrap lumber obstructing sidewalk near Industrial park during evening rush during market day.,bulk
Sorting bay with aluminum cans jammed and uncollected near Community garden during weekend cleanup after parade.,recyclables
Battery crate with toxic sludge knocked on its side near Bike lane near station during midnight patrol during market day.,hazardous
Yard bag stack with coffee grounds drawing pests near Bike lane near station during late afternoon amid high winds.,organic
Server rack with lithium cells mixed with trash near Warehouse district during early morning after parade.,e-waste
Construction sack with site rubble tossed behind fence near Tech campus during storm aftermath during heat wave.,illegal_dumping
Appliance stack with scrap lumber crushing plants near Warehouse district during midnight patrol on foggy day.,bulk
Curbside tote with glass jars jammed and uncollected near Recreation center during early morning after heavy rain.,recyclables
Battery crate with corrosive fluid leaking onto soil near Recreation center during evening rush amid high winds.,hazardous
Compost bin with coffee grounds smelling strongly near Shopping arcade during evening rush during market day.,organic
Device crate with motherboards dumped beside alley near Bike lane near station during noon inspection on foggy day.,e-waste
Trash bag pile with household junk tossed behind fence near Campus edge during midnight patrol during market day.,illegal_dumping
Pallet mountain with furniture obstructing sidewalk near Downtown plaza during weekend cleanup amid high winds.,bulk
Sorting bay with cardboard flats strewn across curb near Harbor pier during holiday weekend after heavy rain.,recyclables
Paint bucket with corrosive fluid stored without label near Shopping arcade during evening rush amid high winds.,hazardous
Produce pallet with coffee grounds drawing pests near Shopping arcade during late afternoon after heavy rain.,organic
Server rack with motherboards stacked without cover near Campus edge during evening rush during market day.,e-waste
Pickup truck load with demolition scraps burned in pit near Downtown plaza during evening rush amid high winds.,illegal_dumping
Appliance stack with metal frames encroaching roadway near City park during holiday weekend after parade.,bulk
Blue cart with plastic bottles strewn across curb near Tech campus during late afternoon following festival.,recyclables
Paint bucket with acidic runoff emitting fumes near Tech campus during evening rush during heat wave.,hazardous
Compost bin with spoiled fruit left in sun near City park during midnight patrol after parade.,organic
Server rack with cables rusting outdoors near City park during weekend cleanup during market day.,e-waste
Trash bag pile with mixed refuse abandoned overnight near Suburban cul-de-sac during storm aftermath after heavy rain.,illegal_dumping
Pallet mountain with upholstery obstructing sidewalk near Harbor pier during early morning on foggy day.,bulk
Sorting bay with glass jars ignored by hauler near Campus edge during noon inspection following festival.,recyclables
Battery crate with corrosive fluid leaking onto soil near City park during late afternoon after heavy rain.,hazardous
Produce pallet with rotting scraps drawing pests near Tech campus during storm aftermath following festival.,organic
Printer stack with lithium cells mixed with trash near Shopping arcade during storm aftermath after heavy rain.,e-waste
Trash bag pile with mixed refuse blocking fire lane near Riverbank during weekend cleanup after parade.,illegal_dumping
Carpet roll with drywall sheets encroaching roadway near City park during late afternoon on foggy day.,bulk
Sorting bay with plastic bottles strewn across curb near Riverbank during storm aftermath after heavy rain.,recyclables
Solvent barrel with lab waste leaking onto soil near Industrial park during evening rush after heavy rain.,hazardous
Produce pallet with rotting scraps smelling strongly near Suburban cul-de-sac during noon inspection following festival.,organic
Device crate with motherboards stacked without cover near Shopping arcade during midnight patrol during market day.,e-waste
Pickup truck load with site rubble spread across verge near Industrial park during late afternoon on foggy day.,illegal_dumping
Pallet mountain with scrap lumber left for weeks near Warehouse district during early morning amid high winds.,bulk
Drop-off cage with aluminum cans jammed and uncollected near Tech campus during late afternoon following festival.,recyclables
Chemical tote with lab waste leaking onto soil near Downtown plaza during early morning during heat wave.,hazardous
Yard bag stack with leaf piles mixed with litter near Recreation center during evening rush during heat wave.,organic
Printer stack with lithium cells stacked without cover near Warehouse district during weekend cleanup amid high winds.,e-waste
Trash bag pile with mixed refuse burned in pit near Warehouse district during late afternoon following festival.,illegal_dumping
Appliance stack with metal frames left for weeks near Downtown plaza during storm aftermath after heavy rain.,bulk
Drop-off cage with paper bundles jammed and uncollected near Riverbank during holiday weekend after heavy rain.,recyclables
Chemical tote with flammable mix knocked on its side near Tech campus during midnight patrol during market day.,hazardous
Yard bag stack with leaf piles left in sun near Suburban cul-de-sac during weekend cleanup during market day.,organic
Device crate with broken screens mixed with trash near Downtown plaza during weekend cleanup following festival.,e-waste
Pickup truck load with site rubble tossed behind fence near Tech campus during storm aftermath after parade.,illegal_dumping
Sofa set with metal frames left for weeks near Transit hub during storm aftermath amid high winds.,bulk
Sorting bay with paper bundles overflowing onto sidewalk near Downtown plaza during weekend cleanup after parade.,recyclables
Paint bucket with acidic runoff leaking onto soil near City park during late afternoon following festival.,hazardous
Yard bag stack with rotting scraps left in sun near City park during early morning amid high winds.,organic
Device crate with motherboards awaiting pickup near Community garden during noon inspection after parade.,e-waste
Trash bag pile with site rubble spread across verge near Industrial park during weekend cleanup after heavy rain.,illegal_dumping
Appliance stack with upholstery obstructing sidewalk near Old Town during late afternoon during heat wave.,bulk
Neighborhood bin with paper bundles contaminated with trash near Riverbank during noon inspection after parade.,recyclables
Battery crate with flammable mix stored without label near Industrial park during late afternoon after heavy rain.,hazardous
Food cart with meat waste drawing pests near Transit hub during noon inspection during heat wave.,organic
Device crate with motherboards mixed with trash near Harbor pier during early morning during market day.,e-waste
Trash bag pile with household junk tossed behind fence near Campus edge during holiday weekend following festival.,illegal_dumping
Sofa set with scrap lumber obstructing sidewalk near Tech campus during evening rush after heavy rain.,bulk
Blue cart with aluminum cans strewn across curb near Transit hub during storm aftermath on foggy day.,recyclables
Solvent barrel with lab waste emitting fumes near Recreation center during late afternoon after heavy rain.,hazardous
Produce pallet with coffee grounds smelling strongly near Riverbank during noon inspection after heavy rain.,organic
Battery tote with broken screens stacked without cover near Recreation center during storm aftermath after parade.,e-waste
Construction sack with mixed refuse spread across verge near Bike lane near station during storm aftermath during heat wave.,illegal_dumping
Appliance stack with metal frames crushing plants near Industrial park during holiday weekend during heat wave.,bulk
Curbside tote with cardboard flats ignored by hauler near Transit hub during midnight patrol amid high winds.,recyclables
Solvent barrel with acidic runoff leaking onto soil near Riverbank during midnight patrol amid high winds.,hazardous
Yard bag stack with spoiled fruit left in sun near Transit hub during early morning amid high winds.,organic
Battery tote with old laptops mixed with trash near Warehouse district during noon inspection amid high winds.,e-waste
Mattress heap with mixed refuse blocking fire lane near City park during weekend cleanup after heavy rain.,illegal_dumping
Sofa set with scrap lumber left for weeks near Warehouse district during weekend cleanup during heat wave.,bulk
Sorting bay with aluminum cans jammed and uncollected near Harbor pier during early morning after parade.,recyclables
Solvent barrel with acidic runoff emitting fumes near Recreation center during evening rush during heat wave.,hazardous
Grocery dumpster with leaf piles blocking walkway near Recreation center during early morning during market day.,organic
Printer stack with old laptops stacked without cover near City park during weekend cleanup after parade.,e-waste
Contractor debris with site rubble abandoned overnight near Suburban cul-de-sac during early morning after heavy rain.,illegal_dumping
Appliance stack with upholstery leaning on hydrant near Downtown plaza during holiday weekend after heavy rain.,bulk
Curbside tote with aluminum cans strewn across curb near Warehouse district during evening rush after parade.,recyclables
Oil drum with corrosive fluid seeping toward drain near City park during evening rush after parade.,hazardous
Grocery dumpster with leaf piles drawing pests near Warehouse district during storm aftermath following festival.,organic
Server rack with motherboards awaiting pickup near Old Town during evening rush during market day.,e-waste
Construction sack with site rubble abandoned overnight near Shopping arcade during noon inspection during heat wave.,illegal_dumping
Pallet mountain with drywall sheets crushing plants near Old Town during evening rush during market day.,bulk
Curbside tote with glass jars ignored by hauler near Downtown plaza during evening rush following festival.,recyclables
Solvent barrel with toxic sludge knocked on its side near Riverbank during holiday weekend during heat wave.,hazardous
Compost bin with spoiled fruit blocking walkway near Warehouse district during evening rush during market day.,organic
Server rack with lithium cells dumped beside alley near Industrial park during weekend cleanup during heat wave.,e-waste
Trash bag pile with site rubble tossed behind fence near Shopping arcade during early morning after heavy rain.,illegal_dumping
Pallet mountain with scrap lumber leaning on hydrant near Recreation center during storm aftermath amid high winds.,bulk
Drop-off cage with cardboard flats contaminated with trash near Riverbank during holiday weekend after parade.,recyclables
Chemical tote with acidic runoff leaking onto soil near Tech campus during early morning on foggy day.,hazardous
Food cart with leaf piles drawing pests near Riverbank during noon inspection during heat wave.,organic
Device crate with broken screens rusting outdoors near Recreation center during late afternoon on foggy day.,e-waste
Pickup truck load with black bags abandoned overnight near City park during storm aftermath during heat wave.,illegal_dumping
Sofa set with drywall sheets leaning on hydrant near Transit hub during storm aftermath during market day.,bulk
Drop-off cage with paper bundles strewn across curb near Riverbank during early morning amid high winds.,recyclables
Chemical tote with corrosive fluid emitting fumes near Downtown plaza during storm aftermath after heavy rain.,hazardous
Grocery dumpster with coffee grounds smelling strongly near Riverbank during early morning during heat wave.,organic
Server rack with broken screens mixed with trash near Community garden during late afternoon on foggy day.,e-waste
Construction sack with black bags blocking fire lane near Riverbank during storm aftermath during heat wave.,illegal_dumping
Pallet mountain with drywall sheets leaning on hydrant near Suburban cul-de-sac during early morning on foggy day.,bulk
Neighborhood bin with paper bundles strewn across curb near Community garden during midnight patrol following festival.,recyclables
Chemical tote with corrosive fluid leaking onto soil near Bike lane near station during noon inspection after parade.,hazardous
Grocery dumpster with spoiled fruit left in sun near Downtown plaza during storm aftermath after parade.,organic
Printer stack with lithium cells rusting outdoors near Recreation center during weekend cleanup amid high winds.,e-waste
Pickup truck load with black bags tossed behind fence near Harbor pier during evening rush after heavy rain.,illegal_dumping
Appliance stack with metal frames leaning on hydrant near Tech campus during weekend cleanup during heat wave.,bulk
Neighborhood bin with plastic bottles contaminated with trash near Transit hub during evening rush after parade.,recyclables
Paint bucket with corrosive fluid leaking onto soil near Campus edge during storm aftermath following festival.,hazardous
Food cart with meat waste mixed with litter near Recreation center during early morning after parade.,organic
Monitor pile with lithium cells stacked without cover near Old Town during late afternoon after heavy rain.,e-waste
Trash bag pile with demolition scraps blocking fire lane near Recreation center during storm aftermath on foggy day.,illegal_dumping
Pallet mountain with upholstery left for weeks near Suburban cul-de-sac during early morning during heat wave.,bulk
Neighborhood bin with aluminum cans ignored by hauler near City park during storm aftermath after heavy rain.,recyclables
Paint bucket with toxic sludge leaking onto soil near Shopping arcade during holiday weekend on foggy day.,hazardous
Compost bin with leaf piles blocking walkway near Industrial park during midnight patrol after parade.,organic
Monitor pile with cables stacked without cover near Industrial park during holiday weekend after parade.,e-waste
Trash bag pile with black bags burned in pit near Bike lane near station during late afternoon during heat wave.,illegal_dumping
Appliance stack with scrap lumber encroaching roadway near Tech campus during noon inspection after parade.,bulk
Curbside tote with aluminum cans overflowing onto sidewalk near Industrial park during storm aftermath during heat wave.,recyclables
Chemical tote with toxic sludge seeping toward drain near Community garden during early morning during heat wave.,hazardous
Yard bag stack with rotting scraps blocking walkway near Shopping arcade during weekend cleanup on foggy day.,organic
Battery tote with old laptops mixed with trash near Bike lane near station during late afternoon during market day.,e-waste
Mattress heap with site rubble spread across verge near City park during holiday weekend during heat wave.,illegal_dumping
Carpet roll with upholstery crushing plants near Warehouse district during evening rush after parade.,bulk
Blue cart with paper bundles overflowing onto sidewalk near Campus edge during early morning during heat wave.,recyclables
Chemical tote with toxic sludge seeping toward drain near Industrial park during storm aftermath following festival.,hazardous
Compost bin with coffee grounds smelling strongly near Bike lane near station during evening rush following festival.,organic
Device crate with motherboards rusting outdoors near Tech campus during midnight patrol during market day.,e-waste
Construction sack with black bags blocking fire lane near Suburban cul-de-sac during midnight patrol during heat wave.,illegal_dumping
Timber bundle with upholstery left for weeks near Campus edge during late afternoon after heavy rain.,bulk
Curbside tote with cardboard flats ignored by hauler near Industrial park during midnight patrol during market day.,recyclables
Battery crate with corrosive fluid emitting fumes near Industrial park during noon inspection after parade.,hazardous
Food cart with leaf piles smelling strongly near Old Town during weekend cleanup after heavy rain.,organic
Server rack with cables dumped beside alley near Bike lane near station during holiday weekend on foggy day.,e-waste
Construction sack with black bags spread across verge near Shopping arcade during early morning following festival.,illegal_dumping
Timber bundle with metal frames left for weeks near Bike lane near station during holiday weekend during market day.,bulk
Curbside tote with paper bundles strewn across curb near Community garden during evening rush on foggy day.,recyclables
Battery crate with toxic sludge emitting fumes near Shopping arcade during evening rush during market day.,hazardous
Compost bin with spoiled fruit blocking walkway near Transit hub during midnight patrol amid high winds.,organic
Server rack with motherboards rusting outdoors near Industrial park during holiday weekend after parade.,e-waste
Construction sack with mixed refuse burned in pit near City park during late afternoon amid high winds.,illegal_dumping
Carpet roll with furniture encroaching roadway near Harbor pier during midnight patrol amid high winds.,bulk
Sorting bay with aluminum cans strewn across curb near Warehouse district during storm aftermath following festival.,recyclables
Chemical tote with flammable mix seeping toward drain near Tech campus during late afternoon amid high winds.,hazardous
Produce pallet with leaf piles drawing pests near Downtown plaza during holiday weekend on foggy day.,organic
Device crate with old laptops stacked without cover near Suburban cul-de-sac during late afternoon during heat wave.,e-waste
Construction sack with black bags spread across verge near Suburban cul-de-sac during storm aftermath after heavy rain.,illegal_dumping
Carpet roll with metal frames crushing plants near Downtown plaza during noon inspection after parade.,bulk
Blue cart with plastic bottles strewn across curb near Transit hub during noon inspection on foggy day.,recyclables
Oil drum with acidic runoff knocked on its side near City park during midnight patrol during heat wave.,hazardous
Compost bin with leaf piles blocking walkway near Suburban cul-de-sac during noon inspection amid high winds.,organic
Server rack with lithium cells awaiting pickup near Tech campus during weekend cleanup during heat wave.,e-waste
Pickup truck load with household junk abandoned overnight near Shopping arcade during evening rush during heat wave.,illegal_dumping
Carpet roll with upholstery leaning on hydrant near Riverbank during noon inspection during market day.,bulk
Neighborhood bin with paper bundles ignored by hauler near City park during early morning following festival.,recyclables
Oil drum with corrosive fluid leaking onto soil near Shopping arcade during late afternoon amid high winds.,hazardous
Yard bag stack with rotting scraps left in sun near Industrial park during holiday weekend during market day.,organic
Device crate with broken screens awaiting pickup near Campus edge during late afternoon during market day.,e-waste
Contractor debris with demolition scraps abandoned overnight near Campus edge during late afternoon following festival.,illegal_dumping
Timber bundle with furniture obstructing sidewalk near Suburban cul-de-sac during weekend cleanup following festival.,bulk
Drop-off cage with cardboard flats strewn across curb near Warehouse district during storm aftermath on foggy day.,recyclables
Oil drum with lab waste stored without label near Recreation center during weekend cleanup during market day.,hazardous
Food cart with spoiled fruit drawing pests near Downtown plaza during late afternoon after heavy rain.,organic
Device crate with broken screens rusting outdoors near Riverbank during late afternoon on foggy day.,e-waste
Construction sack with site rubble blocking fire lane near Suburban cul-de-sac during early morning after heavy rain.,illegal_dumping
Sofa set with drywall sheets crushing plants near Tech campus during noon inspection amid high winds.,bulk
Blue cart with plastic bottles overflowing onto sidewalk near Community garden during evening rush during market day.,recyclables
Paint bucket with flammable mix stored without label near City park during midnight patrol during market day.,hazardous
Food cart with leaf piles smelling strongly near Riverbank during storm aftermath amid high winds.,organic
Server rack with lithium cells mixed with trash near Tech campus during storm aftermath during market day.,e-waste
Pickup truck load with household junk tossed behind fence near Community garden during evening rush after heavy rain.,illegal_dumping
Carpet roll with scrap lumber left for weeks near Bike lane near station during holiday weekend during heat wave.,bulk
Drop-off cage with cardboard flats overflowing onto sidewalk near Community garden during evening rush amid high winds.,recyclables
Oil drum with acidic runoff stored without label near Downtown plaza during late afternoon on foggy day.,hazardous
Compost bin with meat waste left in sun near Shopping arcade during weekend cleanup during market day.,organic
Printer stack with old laptops rusting outdoors near Riverbank during storm aftermath during market day.,e-waste
Construction sack with site rubble spread across verge near Old Town during early morning after heavy rain.,illegal_dumping
Carpet roll with scrap lumber encroaching roadway near Community garden during evening rush after heavy rain.,bulk
Drop-off cage with aluminum cans jammed and uncollected near Industrial park during early morning following festival.,recyclables
Solvent barrel with acidic runoff stored without label near Community garden during weekend cleanup after heavy rain.,hazardous
Yard bag stack with meat waste mixed with litter near Riverbank during holiday weekend amid high winds.,organic
Monitor pile with lithium cells dumped beside alley near Riverbank during storm aftermath amid high winds.,e-waste
Contractor debris with demolition scraps tossed behind fence near Community garden during late afternoon after parade.,illegal_dumping
Carpet roll with upholstery leaning on hydrant near Bike lane near station during holiday weekend on foggy day.,bulk
Blue cart with aluminum cans contaminated with trash near Warehouse district during holiday weekend during market day.,recyclables
Battery crate with corrosive fluid leaking onto soil near Tech campus during weekend cleanup after heavy rain.,hazardous
Food cart with leaf piles left in sun near Harbor pier during noon inspection during market day.,organic
Monitor pile with cables mixed with trash near Old Town during storm aftermath after heavy rain.,e-waste
Contractor debris with household junk abandoned overnight near Riverbank during storm aftermath during heat wave.,illegal_dumping
Appliance stack with drywall sheets obstructing sidewalk near Tech campus during storm aftermath after heavy rain.,bulk
Neighborhood bin with glass jars ignored by hauler near Harbor pier during evening rush amid high winds.,recyclables
Solvent barrel with corrosive fluid knocked on its side near Recreation center during storm aftermath after parade.,hazardous
Grocery dumpster with spoiled fruit left in sun near Old Town during evening rush after heavy rain.,organic
Printer stack with old laptops awaiting pickup near Harbor pier during storm aftermath amid high winds.,e-waste
Trash bag pile with black bags blocking fire lane near Industrial park during holiday weekend after parade.,illegal_dumping
Appliance stack with scrap lumber left for weeks near Shopping arcade during midnight patrol after parade.,bulk
Curbside tote with aluminum cans strewn across curb near Transit hub during midnight patrol during market day.,recyclables
Chemical tote with toxic sludge knocked on its side near Harbor pier during noon inspection during market day.,hazardous
Food cart with meat waste mixed with litter near City park during storm aftermath during market day.,organic
Battery tote with broken screens rusting outdoors near Riverbank during early morning amid high winds.,e-waste
Pickup truck load with mixed refuse abandoned overnight near Industrial park during evening rush on foggy day.,illegal_dumping
Appliance stack with furniture crushing plants near Transit hub during early morning on foggy day.,bulk
Blue cart with cardboard flats ignored by hauler near Community garden during weekend cleanup during market day.,recyclables
Chemical tote with lab waste emitting fumes near Shopping arcade during early morning amid high winds.,hazardous
Yard bag stack with leaf piles left in sun near Downtown plaza during early morning during market day.,organic
Device crate with old laptops mixed with trash near Community garden during weekend cleanup during market day.,e-waste
Contractor debris with demolition scraps burned in pit near Transit hub during weekend cleanup on foggy day.,illegal_dumping
Appliance stack with furniture leaning on hydrant near Old Town during late afternoon amid high winds.,bulk
